country,nx,tx,nx_avg
at,81,104714,325
at,460,105174,337
at,210,105384,303
at,115,105499,263
at,440,105939,278
at,149,106088,241
at,420,106508,268
at,284,106792,297
at,68,106860,241
at,589,107449,295
at,244,107692,313
at,366,108058,303
at,278,108335,321
at,426,108762,322
at,487,109249,351
at,95,109344,355
at,169,109513,295
at,528,110041,336
at,122,110163,301
at,386,110549,316
at,196,110745,283
at,311,111056,258
at,217,111273,276
at,135,111408,271
at,257,111666,232
at,122,111787,232
at,190,111977,204
at,345,112322,225
at,298,112620,223
at,27,112647,196
at,142,112789,197
at,74,112864,171
at,210,113074,184
at,244,113317,191
at,420,113737,202
at,129,113865,178
at,311,114177,219
at,142,114319,219
at,88,114407,220
at,230,114637,223
at,190,114827,216
at,203,115030,185
at,135,115165,186
at,162,115328,164
at,183,115510,170
at,223,115734,190
at,115,115849,173
at,271,116119,185
at,203,116323,185
at,420,116742,225
at,257,116999,239
at,237,117236,247
at,210,117446,245
at,223,117670,260
at,318,117988,267
at,454,118441,303
at,433,118874,305
at,426,119301,329
at,278,119578,335
at,751,120330,412
at,250,120580,416
at,934,121514,504
at,819,122333,556
at,833,123166,613
at,494,123660,623
at,386,124046,638
at,602,124648,617
at,684,125332,679
at,657,125988,639
at,501,126489,594
at,731,127220,579
at,352,127572,559
at,81,127654,515
at,1361,129014,624
at,372,129386,579
at,1036,130422,633
at,934,131356,695
at,690,132047,689
at,426,132473,700
at,731,133204,793
at,941,134145,733
at,948,135093,815
at,1110,136203,826
at,724,136927,796
at,812,137739,813
at,927,138666,885
at,433,139100,842
at,893,139993,835
at,1110,141103,859
at,1103,142207,858
at,602,142809,840
at,,,724
at,,,592
at,,,530
at,,,402
at,,,244
at,,,86
at,,,
at,,,
at,,,
at,,,
at,,,
at,,,
at,,,
at,,,
at,,,
at,,,
at,,,
at,,,
at,,,
at,,,
at,,,
at,,,
at,,,
at,,,
ch,49,56,24
ch,28,84,22
ch,42,125,28
ch,42,167,31
ch,42,209,35
ch,49,258,39
ch,139,397,56
ch,209,606,79
ch,849,1455,196
ch,383,1838,245
ch,473,2312,306
ch,292,2604,342
ch,808,3412,451
ch,1058,4470,582
ch,1476,5946,763
ch,1859,7805,907
ch,1657,9462,1089
ch,5856,15318,1858
ch,,15318,1816
ch,3133,18451,2149
ch,2458,20909,2348
ch,5988,26897,2993
ch,6566,33463,3665
ch,8850,42313,4693
ch,6225,48538,4746
ch,7269,55807,5784
ch,5389,61196,6106
ch,6441,67637,6675
ch,6963,74599,6815
ch,9678,84278,7259
ch,7297,91575,7037
ch,7812,99387,7264
ch,7924,107311,7358
ch,4846,112157,7280
ch,6698,118855,7317
ch,7826,126681,7440
ch,7193,133874,7085
ch,6782,140655,7012
ch,5716,146372,6712
ch,3843,150215,6129
ch,4108,154323,6024
ch,3802,158125,5610
ch,5466,163591,5273
ch,5104,168695,4974
ch,4122,172817,4594
ch,2785,175602,4176
ch,1943,177544,3904
ch,1769,179313,3570
ch,4059,183372,3607
ch,2193,185565,3139
ch,2409,187975,2754
ch,2263,190238,2489
ch,2339,192577,2425
ch,1170,193747,2315
ch,1079,194826,2216
ch,1427,196253,1840
ch,1588,197841,1754
ch,1260,199101,1590
ch,1504,200605,1481
ch,1163,201768,1313
ch,717,202485,1248
ch,696,203181,1194
ch,996,204177,1132
ch,1246,205423,1083
ch,829,206252,1022
ch,780,207032,918
ch,613,207645,840
ch,529,208174,813
ch,195,208369,741
ch,355,208724,650
ch,460,209183,537
ch,564,209747,499
ch,306,210054,432
ch,376,210430,398
ch,272,210701,361
ch,251,210952,369
ch,230,211182,351
ch,348,211530,335
ch,355,211885,305
ch,404,212289,319
ch,104,212393,281
ch,70,212463,252
ch,146,212609,237
ch,279,212887,244
ch,251,213138,230
ch,91,213229,192
ch,125,213354,152
ch,77,213431,148
ch,70,213500,148
ch,104,213605,142
ch,,213605,102
ch,244,213848,101
ch,223,214071,120
ch,118,214190,119
ch,118,214308,125
ch,63,214371,124
ch,21,214391,112
ch,132,214524,131
ch,139,214663,116
ch,160,214823,107
ch,139,214962,110
ch,63,215025,102
ch,49,215074,100
ch,111,215185,113
ch,160,215345,117
ch,230,215575,130
ch,132,215707,126
ch,216,215923,137
ch,160,216083,151
ch,97,216181,158
ch,104,216285,157
ch,258,216543,171
ch,118,216661,155
ch,641,217302,228
ch,,217302,197
ch,,217302,174
ch,125,217427,178
ch,153,217580,185
ch,306,217887,192
ch,362,218249,227
ch,404,218653,193
ch,480,219133,262
ch,432,219565,323
ch,244,219809,340
ch,432,220240,380
ch,1532,221772,555
ch,230,222002,536
ch,926,222928,611
ch,675,223603,639
ch,487,224091,647
ch,320,224411,657
ch,376,224787,650
ch,898,225685,559
ch,613,226298,614
ch,724,227022,585
ch,752,227774,596
ch,592,228366,611
ch,439,228804,628
ch,487,229292,644
ch,919,230211,647
ch,989,231200,700
ch,634,231833,687
ch,766,232599,689
ch,682,233282,702
ch,299,233581,682
ch,752,234333,720
ch,982,235315,729
ch,815,236129,704
ch,1072,237202,767
ch,1030,238232,805
ch,766,238998,817
ch,453,239451,839
ch,919,240370,862
ch,1337,241707,913
ch,1525,243231,1015
ch,954,244185,998
ch,,,850
ch,,,741
ch,,,676
ch,,,545
ch,,,354
ch,,,136
ch,,,
us,19,62,20
us,17,79,17
us,22,101,20
us,36,137,22
us,49,187,26
us,52,239,31
us,64,303,37
us,93,396,48
us,141,537,65
us,150,687,84
us,161,849,102
us,322,1170,140
us,544,1714,211
us,880,2594,327
us,978,3573,454
us,1297,4870,619
us,1540,6410,818
us,2046,8455,1087
us,1600,10055,1269
us,2542,12598,1555
us,3058,15656,1866
us,3404,19059,2212
us,3637,22697,2547
us,3343,26039,2804
us,3932,29971,3074
us,4551,34522,3495
us,4934,39457,3837
us,5247,44703,4150
us,5903,50607,4507
us,6240,56846,4879
us,4624,61470,5062
us,5564,67034,5295
us,5573,72608,5441
us,6067,78675,5603
us,6172,84847,5735
us,6468,91315,5815
us,5169,96484,5662
us,5029,101512,5720
us,4556,106068,5576
us,4901,110970,5480
us,5489,116458,5398
us,5765,122224,5340
us,5614,127837,5217
us,5994,133831,5335
us,4479,138310,5257
us,5110,143420,5336
us,6789,150208,5606
us,3202,153411,5279
us,4832,158243,5146
us,3887,162130,4899
us,8835,170966,5305
us,4890,175855,5364
